scenario_group,scenario_name,eta_dis,row_shape_profile,case_id,ieff_slice,slice_order,h,b,t1,t2,i_single,i_sep,i_mono,length,slenderness,mu,q_b0,bolt_rows,axial_ratio,k_stick,peak_base_reaction,total_loop_energy,total_row_dissipation,final_min_q_b,final_mean_q_b,final_min_q_b_over_q_b0,rows_relaxed,composite_factor_final,max_abs_row_slip,slip_index,local_buckling_index,global_instability_index,energy_index,weak_state_label,n_newton_iterations_total,n_newton_failures,converged
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-022,small_H80_B80_T1-5_T2-7,1,80.0,80.0,5.0,7.0,1616483.3333333333,3232966.6666666665,7872966.666666666,3154.2179552293005,95.0,0.2,0.7,5,0.55,0.35,41552.47180844471,17148260.365376376,3.557318329145206,0.7,0.7,1.0,0,0.2,1.3275735788545686,3.3189339471364216,1.820139656284347,1.0048076923076925,3.270931991099302,global_instability_sensitive,379,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-023,small_H80_B80_T1-5_T2-7,1,80.0,80.0,5.0,7.0,1616483.3333333333,3232966.6666666665,7872966.666666666,3154.2179552293005,95.0,0.35,1.0,5,0.55,0.35,36500.32113479823,14235135.211983396,1.7689772900761205,1.0,1.0,1.0,0,1.0,1.3275735788545686,1.3275735788545686,1.820139656284347,1.0048076923076925,3.0911011752184305,global_instability_sensitive,367,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-024,small_H80_B80_T1-5_T2-7,1,80.0,80.0,5.0,7.0,1616483.3333333333,3232966.6666666665,7872966.666666666,3154.2179552293005,95.0,0.55,1.3,5,0.55,0.35,24369.65270857513,12590846.727097608,0.0,1.3,1.3,1.0,0,1.0,1.3275735788545686,0.6498611924462923,1.820139656284347,1.0048076923076925,4.0950000000019715,global_instability_sensitive,361,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-025,small_H80_B80_T1-5_T2-7,1,80.0,80.0,5.0,7.0,1616483.3333333333,3232966.6666666665,7872966.666666666,3470.394266309862,115.0,0.2,0.7,3,0.7,0.35,57101.57601100579,25441441.437416606,3.4814679749315536,0.7,0.6999999999999998,1.0,0,0.0,1.7668363097510043,4.417090774377511,3.306309679835236,1.5480769230769231,3.2096288131312085,global_instability_sensitive,379,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-026,small_H80_B80_T1-5_T2-7,1,80.0,80.0,5.0,7.0,1616483.3333333333,3232966.6666666665,7872966.666666666,3470.394266309862,115.0,0.35,1.0,3,0.7,0.35,40423.62996726483,19564609.562303416,2.885832639259973,1.0,1.0,1.0,0,1.0,1.7668363097510043,1.7668363097510043,3.306309679835236,1.5480769230769231,3.4865593883178927,global_instability_sensitive,364,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-027,small_H80_B80_T1-5_T2-7,1,80.0,80.0,5.0,7.0,1616483.3333333333,3232966.6666666665,7872966.666666666,3470.394266309862,115.0,0.55,1.3,3,0.7,0.35,30644.155556239188,17419688.024733778,0.0,1.3,1.3,1.0,0,1.0,1.7668363097510043,0.8648849068711209,3.306309679835236,1.5480769230769231,4.095000000000827,global_instability_sensitive,361,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-028,small_H80_B80_T1-5_T2-7,1,80.0,80.0,5.0,7.0,1616483.3333333333,3232966.6666666665,7872966.666666666,3470.394266309862,115.0,0.2,0.7,5,0.7,0.35,57101.57601100579,25208140.6906782,4.290834190845441,0.7,0.7,1.0,0,0.0,1.4606485035452887,3.651621258863222,3.024588485827323,1.5480769230769231,3.1801961726615797,global_instability_sensitive,381,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-029,small_H80_B80_T1-5_T2-7,1,80.0,80.0,5.0,7.0,1616483.3333333333,3232966.6666666665,7872966.666666666,3470.394266309862,115.0,0.35,1.0,5,0.7,0.35,44160.34616021812,19750851.547910232,2.578629275912922,1.0,1.0,1.0,0,1.0,1.4606485035452887,1.4606485035452887,3.024588485827323,1.5480769230769231,3.221918475572477,global_instability_sensitive,367,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-030,small_H80_B80_T1-5_T2-7,1,80.0,80.0,5.0,7.0,1616483.3333333333,3232966.6666666665,7872966.666666666,3470.394266309862,115.0,0.55,1.3,5,0.7,0.35,30644.155556239188,17419688.024733778,0.0,1.3,1.3,1.0,0,1.0,1.4606485035452887,0.7150027639732182,3.024588485827323,1.5480769230769231,4.095000000000827,global_instability_sensitive,361,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-031,medium_H100_B100_T1-6_T2-8,2,100.0,100.0,6.0,8.0,3690485.3333333335,7380970.666666667,17900970.666666668,2393.172105652397,35.0,0.2,0.7,3,0.1,0.35,43504.01730841398,9403490.611583456,1.8008546102838097,0.7,0.6999999999999998,1.0,0,0.3333333333333333,1.218404321606375,3.0460108040159377,0.0,0.0673076923076923,2.258009728838962,slip_dominated,371,0,True
