step,time_or_drift,applied_displacement,base_reaction,row_idx,row_slip,row_connector_force,row_dissipation_increment,row_q_b,row_sticking_flag
70,-0.003333333333333334,-10.000000000000002,-0.003510870039463043,0,-0.12727922061357858,-0.044547727214752496,0.0,1.0,True
70,-0.003333333333333334,-10.000000000000002,-0.003510870039463043,1,-0.063,-0.02205,0.0,1.0,True
70,-0.003333333333333334,-10.000000000000002,-0.003510870039463043,2,-0.12727922061357858,-0.044547727214752496,0.0,1.0,True
71,-0.002666666666666667,-8.000000000000002,-0.0028086937963962555,0,-0.10182337649086287,-0.035638181771802,0.0,1.0,True
71,-0.002666666666666667,-8.000000000000002,-0.0028086937963962555,1,-0.05040000000000001,-0.017640000000000003,0.0,1.0,True
71,-0.002666666666666667,-8.000000000000002,-0.0028086937963962555,2,-0.10182337649086287,-0.035638181771802,0.0,1.0,True
72,-0.002,-6.0,-0.0021065212786197662,0,-0.07636753236814714,-0.026728636328851498,0.0,1.0,True
72,-0.002,-6.0,-0.0021065212786197662,1,-0.03779999999999999,-0.013229999999999997,0.0,1.0,True
72,-0.002,-6.0,-0.0021065212786197662,2,-0.07636753236814714,-0.026728636328851498,0.0,1.0,True
73,-0.001333333333333334,-4.000000000000002,-0.0014043450355529785,0,-0.05091168824543144,-0.017819090885901005,0.0,1.0,True
73,-0.001333333333333334,-4.000000000000002,-0.0014043450355529785,1,-0.025200000000000007,-0.008820000000000001,0.0,1.0,True
73,-0.001333333333333334,-4.000000000000002,-0.0014043450355529785,2,-0.05091168824543144,-0.017819090885901005,0.0,1.0,True
74,-0.0006666666666666678,-2.0000000000000036,-0.0007021729834377766,0,-0.025455844122715756,-0.008909545442950514,0.0,1.0,True
74,-0.0006666666666666678,-2.0000000000000036,-0.0007021729834377766,1,-0.012600000000000021,-0.004410000000000007,0.0,1.0,True
74,-0.0006666666666666678,-2.0000000000000036,-0.0007021729834377766,2,-0.025455844122715756,-0.008909545442950514,0.0,1.0,True
75,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,True
75,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,True
75,0.0,0.0,0.0,2,0.0,0.0,0.0,1.0,True
76,0.0006666666666666661,1.9999999999999982,0.0007021734490990639,0,0.025455844122715687,0.00890954544295049,0.0,1.0,True
76,0.0006666666666666661,1.9999999999999982,0.0007021734490990639,1,0.012599999999999988,0.0044099999999999955,0.0,1.0,True
76,0.0006666666666666661,1.9999999999999982,0.0007021734490990639,2,0.025455844122715687,0.00890954544295049,0.0,1.0,True
77,0.0013333333333333322,3.9999999999999964,0.0014043468981981277,0,0.05091168824543137,0.01781909088590098,0.0,1.0,True
77,0.0013333333333333322,3.9999999999999964,0.0014043468981981277,1,0.025199999999999976,0.008819999999999991,0.0,1.0,True
77,0.0013333333333333322,3.9999999999999964,0.0014043468981981277,2,0.05091168824543137,0.01781909088590098,0.0,1.0,True
78,0.002,6.0,0.0021065212786197662,0,0.07636753236814714,0.026728636328851498,0.0,1.0,True
78,0.002,6.0,0.0021065212786197662,1,0.03779999999999999,0.013229999999999997,0.0,1.0,True
78,0.002,6.0,0.0021065212786197662,2,0.07636753236814714,0.026728636328851498,0.0,1.0,True
79,0.002666666666666666,7.999999999999998,0.0028086937963962555,0,0.10182337649086282,0.03563818177180198,0.0,1.0,True
79,0.002666666666666666,7.999999999999998,0.0028086937963962555,1,0.05039999999999998,0.017639999999999992,0.0,1.0,True
79,0.002666666666666666,7.999999999999998,0.0028086937963962555,2,0.10182337649086282,0.03563818177180198,0.0,1.0,True
80,0.0033333333333333322,9.999999999999996,0.0035108625888824463,0,0.12727922061357852,0.04454772721475248,0.0,1.0,True
80,0.0033333333333333322,9.999999999999996,0.0035108625888824463,1,0.06299999999999997,0.02204999999999999,0.0,1.0,True
80,0.0033333333333333322,9.999999999999996,0.0035108625888824463,2,0.12727922061357852,0.04454772721475248,0.0,1.0,True
81,0.004,12.0,0.0042130425572395325,0,0.15273506473629428,0.053457272657702996,0.0,1.0,True
81,0.004,12.0,0.0042130425572395325,1,0.07559999999999999,0.026459999999999994,0.0,1.0,True
81,0.004,12.0,0.0042130425572395325,2,0.15273506473629428,0.053457272657702996,0.0,1.0,True
82,0.004666666666666666,13.999999999999998,0.004915207624435425,0,0.17819090885900996,0.06236681810065348,0.0,1.0,True
82,0.004666666666666666,13.999999999999998,0.004915207624435425,1,0.08819999999999997,0.030869999999999988,0.0,1.0,True
